"filename", "language", "(Read Error)", "JSON with Comments", "Shell Script", "JavaScript", "TypeScript", "source.markdown.math", "JSON", "Prisma", "pgsql", "XML", "Properties", "TypeScript JSX", "YAML", "Docker", "PostCSS", "comment", "blank", "total"
"/workspaces/dev-x-academy-web/doc/grafana_quick_start.md", "source.markdown.math", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 186
"/workspaces/dev-x-academy-web/doc/grafana_setup.md", "source.markdown.math", 0, 0, 0, 0, 0, 295, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 422
"/workspaces/dev-x-academy-web/doc/legal-pages-integration-guide.md", "source.markdown.math", 0, 0, 0, 0, 0, 708, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 842
"/workspaces/dev-x-academy-web/doc/mermaid-theme-guide.md", "source.markdown.math", 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 190
"/workspaces/dev-x-academy-web/doc/metrics_implementation.md", "source.markdown.math", 0, 0, 0, 0, 0, 375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 136, 511
"/workspaces/dev-x-academy-web/doc/metrics_quick_reference.md", "source.markdown.math", 0, 0, 0, 0, 0, 329, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 462
"/workspaces/dev-x-academy-web/doc/metrics_testing_guide.md", "source.markdown.math", 0, 0, 0, 0, 0, 318, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 463
"/workspaces/dev-x-academy-web/doc/multilingual-implementation-guide.md", "source.markdown.math", 0, 0, 0, 0, 0, 1183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 248, 1431
"/workspaces/dev-x-academy-web/doc/opentelemetry_architecture.md", "source.markdown.math", 0, 0, 0, 0, 0, 572, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 195, 767
"/workspaces/dev-x-academy-web/doc/opentelemetry_setup.md", "source.markdown.math", 0, 0, 0, 0, 0, 323, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 458
"/workspaces/dev-x-academy-web/doc/playwright.md", "source.markdown.math", 0, 0, 0, 0, 0, 309, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 426
"/workspaces/dev-x-academy-web/doc/playwright_setup.md", "source.markdown.math", 0, 0, 0, 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 266
"/workspaces/dev-x-academy-web/doc/prisma-introduction.md", "source.markdown.math", 0, 0, 0, 0, 0, 270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 365
"/workspaces/dev-x-academy-web/doc/rest-api-vs-prisma-comparison.md", "source.markdown.math", 0, 0, 0, 0, 0, 608, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 175, 783
"/workspaces/dev-x-academy-web/doc/security_features.md", "source.markdown.math", 0, 0, 0, 0, 0, 280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 392
"/workspaces/dev-x-academy-web/doc/tempo_queries.md", "source.markdown.math", 0, 0, 0, 0, 0, 305, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 157, 462
"/workspaces/dev-x-academy-web/doc/testing-strategy-nextjs.md", "source.markdown.math", 0, 0, 0, 0, 0, 825, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 172, 997
"/workspaces/dev-x-academy-web/doc/testing.md", "source.markdown.math", 0, 0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 222
"/workspaces/dev-x-academy-web/doc/testing_overview.md", "source.markdown.math", 0, 0, 0, 0, 0, 226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 314
"/workspaces/dev-x-academy-web/docs/PASSWORD_RESET_FEATURE.md", "source.markdown.math", 0, 0, 0, 0, 0, 229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 312
"/workspaces/dev-x-academy-web/e2e/accessibility.spec.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 45
"/workspaces/dev-x-academy-web/e2e/auth.spec.ts", "TypeScript", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 54
"/workspaces/dev-x-academy-web/e2e/failing-video.spec.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 10
"/workspaces/dev-x-academy-web/e2e/homepage.spec.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 28
"/workspaces/dev-x-academy-web/e2e/legal.spec.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 39
"/workspaces/dev-x-academy-web/e2e/navigation.spec.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
